Date,Award Amount,Company Name
8/2/2021,"$164,400,502",PALANTIR TECHNOLOGIES INC.
5/24/2018,"$52,537,011",PALANTIR TECHNOLOGIES INC.
12/7/2018,"$51,044,421",PALANTIR USG INC
9/29/2020,"$44,154,209",PALANTIR USG INC
11/30/2021,"$37,400,000",PALANTIR TECHNOLOGIES INC.
5/23/2020,"$35,119,194",PALANTIR USG INC
2/15/2022,"$33,992,688",PALANTIR TECHNOLOGIES INC.
9/29/2023,"$25,039,810",PALANTIR USG INC
3/15/2023,"$23,812,713",PALANTIR TECHNOLOGIES INC.
9/21/2017,"$23,240,289",PALANTIR TECHNOLOGIES INC.
4/13/2015,"$22,401,901",PALANTIR USG INC
6/11/2024,"$21,669,638",PALANTIR TECHNOLOGIES INC.
9/28/2022,"$20,973,895",PALANTIR TECHNOLOGIES INC.
6/24/2016,"$20,008,898",PALANTIR TECHNOLOGIES INC.
9/30/2016,"$20,008,898",PALANTIR TECHNOLOGIES INC.
6/5/2024,"$19,821,446",PALANTIR TECHNOLOGIES INC.
4/30/2024,"$19,372,534",PALANTIR TECHNOLOGIES INC.
9/19/2023,"$19,312,071",PALANTIR TECHNOLOGIES INC.
9/28/2012,"$19,243,057",PALANTIR USG INC
5/10/2022,"$18,895,000",PALANTIR TECHNOLOGIES INC.
9/30/2021,"$18,760,254",PALANTIR TECHNOLOGIES INC.
9/9/2024,"$18,686,187",PALANTIR TECHNOLOGIES INC.
4/10/2020,"$17,361,816",PALANTIR TECHNOLOGIES INC.
9/20/2022,"$17,292,876",PALANTIR TECHNOLOGIES INC.
9/25/2019,"$17,105,744",PALANTIR USG INC
4/29/2021,"$16,857,144",PALANTIR USG INC
11/17/2022,"$16,686,647",PALANTIR USG INC
5/24/2022,"$16,000,000",PALANTIR TECHNOLOGIES INC.
3/22/2019,"$15,286,398",PALANTIR TECHNOLOGIES INC.
9/27/2020,"$15,105,054",PALANTIR TECHNOLOGIES INC.
9/27/2016,"$15,006,674",PALANTIR TECHNOLOGIES INC.
